destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
13,0,13,edge,45,2,13,interior,4,0.0845042983683937,0.1263272419723542,2
46,2,14,interior,14,0,14,edge,4,0.09190163569037275,0.11778841988914214,2
236,14,12,interior,204,12,12,interior,4,0.08052490469992836,0.11684284937949989,2
90,5,10,interior,74,4,10,interior,4,0.1100611269538854,0.11566654302435223,1
236,14,12,interior,252,15,12,edge,4,0.10052273832559677,0.11164325053002735,1
231,14,7,interior,231,14,7,interior,4,0.08405837689324254,0.10042879985504662,0
200,12,8,interior,216,13,8,interior,4,0.0830188187878245,0.09836020203339446,1
212,13,4,interior,180,11,4,interior,4,0.07609470989507963,0.0971132589976539,2
133,8,5,interior,149,9,5,interior,4,0.06278986098317886,0.09685190321518113,1
110,6,14,interior,142,8,14,interior,4,0.08174732423290855,0.08993529687461455,2
135,8,7,interior,151,9,7,interior,4,0.0750989200389941,0.08782184774512845,1
215,13,7,interior,183,11,7,interior,4,0.05443682618005715,0.08649702775649479,2
248,15,8,edge,248,15,8,edge,4,0.06740476168027423,0.07649432040149867,0
75,4,11,interior,43,2,11,interior,4,0.059206014445822255,0.07270527808308465,2
75,4,11,interior,75,4,11,interior,4,0.05245393687214733,0.0703596254978872,0
143,8,15,edge,111,6,15,edge,4,0.06020074104754913,0.06424423710035478,2
187,11,11,interior,155,9,11,interior,4,0.05149095732218721,0.058528334086262075,2
78,4,14,interior,61,3,13,interior,4,0.04998540464911977,0.05838778804944745,2
143,8,15,edge,143,8,15,edge,4,0.049668038812161905,0.05473216462317338,0
135,8,7,interior,135,8,7,interior,4,0.04189401480336359,0.053598711464870906,0
163,10,3,interior,131,8,3,interior,4,0.04414020870376384,0.05312680431790792,2
138,8,10,interior,170,10,10,interior,4,0.045808097360141825,0.05000814600950047,2
96,6,0,edge,80,5,0,edge,3,0.21786796126898278,0.2876907326967536,1
225,14,1,interior,241,15,1,edge,3,0.22668064132993004,0.2770616118334998,1
210,13,2,interior,194,12,2,interior,3,0.18014410746853673,0.22987050303018186,1
74,4,10,interior,58,3,10,interior,3,0.13394280667608746,0.16920854217433692,1
0,0,0,corner,32,2,0,edge,3,0.16158583053618433,0.16645904862668673,2
252,15,12,edge,220,13,12,interior,3,0.13081543791787778,0.16371739601982077,2
181,11,5,interior,165,10,5,interior,3,0.13070609284618265,0.1623513410411736,1
58,3,10,interior,74,4,10,interior,3,0.1327573554927917,0.15584658903540927,1
54,3,6,interior,70,4,6,interior,3,0.13257228710529748,0.15564938524385208,1
46,2,14,interior,62,3,14,interior,3,0.13315236554579377,0.14912041226147024,1
44,2,12,interior,28,1,12,interior,3,0.12727117377265804,0.14231763746516723,1
94,5,14,interior,110,6,14,interior,3,0.10908714546748192,0.13701292005562082,1
183,11,7,interior,167,10,7,interior,3,0.09233057865144251,0.12832338363458404,1
124,7,12,interior,108,6,12,interior,3,0.09550160670369061,0.1266494951476566,1
252,15,12,edge,252,15,12,edge,3,0.10535093068457933,0.12488513743427335,0
199,12,7,interior,183,11,7,interior,3,0.09493389715935156,0.12350736853674882,1
253,15,13,edge,221,13,13,interior,3,0.10352835694239283,0.12340455437943414,2
186,11,10,interior,170,10,10,interior,3,0.10398265815353601,0.11705404002557258,1
224,14,0,edge,224,14,0,edge,3,0.06697636619699994,0.1160811420101251,0
209,13,1,interior,209,13,1,interior,3,0.08600380953022611,0.11406294723475327,0
76,4,12,interior,60,3,12,interior,3,0.10836836419828764,0.1133580686683938,1
175,10,15,edge,191,11,15,edge,3,0.09810218514073438,0.1111844226941741,1
54,3,6,interior,86,5,6,interior,3,0.08412259870090137,0.10721924540690299,2
84,5,4,interior,100,6,4,interior,3,0.10493111817749147,0.10547753661462042,1
199,12,7,interior,215,13,7,interior,3,0.07555983738922324,0.1021852266688534,1
248,15,8,edge,216,13,8,interior,3,0.08002357763991495,0.1003523716923305,2
159,9,15,edge,159,9,15,edge,3,0.08079646118278656,0.09821005581981815,0
78,4,14,interior,46,2,14,interior,3,0.09112492232341984,0.09803971562322542,2
69,4,5,interior,37,2,5,interior,3,0.08970957828295995,0.0965632060462743,2
53,3,5,interior,37,2,5,interior,3,0.08076173219251126,0.09530456788160212,1
58,3,10,interior,42,2,10,interior,3,0.09063054226224158,0.0947559985193512,1
178,11,2,interior,162,10,2,interior,3,0.07685170139634233,0.0917617303669496,1
225,14,1,interior,225,14,1,interior,3,0.06717862897978677,0.09100255924475063,0
39,2,7,interior,7,0,7,edge,3,0.07615677094157838,0.09001029004215066,2
187,11,11,interior,171,10,11,interior,3,0.07859748422607771,0.08883341439461112,1
43,2,11,interior,43,2,11,interior,3,0.06729054060951165,0.0887115178823952,0
0,0,0,corner,48,3,0,edge,3,0.08383078046895957,0.08772816084157581,3
175,10,15,edge,207,12,15,edge,3,0.0716692544411487,0.0870251874797359,2
154,9,10,interior,170,10,10,interior,3,0.07744577231703322,0.08624652342374658,1
79,4,15,edge,111,6,15,edge,3,0.07741588772236972,0.08568972077982565,2
113,7,1,interior,81,5,1,interior,3,0.06317376666658531,0.08550991167245232,2
79,4,15,edge,79,4,15,edge,3,0.07426165064942321,0.08369476198088058,0
163,10,3,interior,179,11,3,interior,3,0.07982415171871841,0.08365985467857656,1
